iter	Passed	Remaining
590	1092	1126
591	1094	1123
592	1095	1121
593	1096	1118
594	1098	1116
595	1099	1114
596	1101	1112
597	1102	1109
598	1103	1107
599	1105	1105
600	1106	1102
601	1107	1100
602	1109	1098
603	1110	1095
604	1111	1093
605	1112	1090
606	1114	1088
607	1115	1086
608	1116	1083
609	1118	1082
610	1120	1079
611	1121	1077
612	1122	1075
613	1124	1072
614	1125	1070
615	1127	1068
616	1128	1066
617	1129	1063
618	1131	1061
619	1132	1059
620	1134	1057
621	1135	1054
622	1136	1052
623	1137	1050
624	1138	1047
625	1140	1045
626	1141	1043
627	1142	1040
628	1143	1038
629	1145	1036
630	1146	1033
631	1147	1031
632	1149	1029
633	1150	1027
634	1151	1024
635	1152	1022
636	1154	1020
637	1155	1017
638	1156	1015
639	1157	1013
640	1159	1010
641	1160	1008
642	1162	1006
643	1163	1004
644	1164	1002
645	1166	1000
646	1167	997
647	1168	995
648	1170	993
649	1171	991
650	1172	989
651	1174	986
652	1175	984
653	1176	982
654	1177	980
655	1179	978
656	1180	975
657	1182	973
658	1183	971
659	1185	969
660	1186	967
661	1188	965
662	1189	963
663	1190	961
664	1191	958
665	1193	956
666	1194	954
667	1195	952
668	1197	950
669	1199	948
670	1200	946
671	1202	944
672	1203	942
673	1204	940
674	1206	938
675	1207	936
676	1208	933
677	1209	931
678	1211	929
679	1212	927
680	1214	925
681	1215	923
682	1231	932
683	1233	930
684	1235	928
685	1236	926
686	1247	931
687	1248	928
688	1249	926
689	1250	924
690	1251	922
691	1253	919
692	1254	917
693	1255	915
694	1256	913
695	1257	910
696	1258	908
697	1260	906
698	1261	904
699	1262	901
700	1263	899
701	1265	897
702	1266	895
703	1267	893
704	1268	890
705	1270	888
706	1271	886
707	1272	884
708	1274	882
709	1275	880
710	1276	878
711	1278	876
712	1279	874
713	1280	871
714	1282	869
715	1283	867
716	1285	865
717	1286	863
718	1287	861
719	1289	859
720	1290	857
721	1291	855
722	1292	852
723	1294	851
724	1295	848
725	1297	846
726	1298	845
727	1300	843
728	1301	840
729	1302	838
730	1304	836
731	1305	834
732	1306	832
733	1308	830
734	1309	828
735	1310	826
736	1312	824
737	1322	827
738	1323	825
739	1324	823
740	1325	821
741	1327	819
742	1328	817
743	1329	815
744	1331	813
745	1337	813
746	1338	811
747	1340	809
748	1341	807
749	1342	805
750	1343	803
751	1345	801
752	1347	799
753	1348	797
754	1349	795
755	1351	793
756	1352	791
757	1353	789
758	1355	787
759	1356	785
760	1357	783
761	1359	781
762	1360	779
763	1361	777
764	1363	775
765	1364	773
766	1366	771
767	1367	769
768	1369	767
769	1370	765
770	1372	763
771	1373	761
772	1374	759
773	1375	757
774	1382	758
775	1383	755
776	1384	753
777	1386	751
778	1387	749
779	1388	747
780	1390	745
781	1391	743
782	1392	741
783	1393	739
784	1395	737
785	1396	735
786	1397	733
787	1399	731
788	1400	729
789	1401	727
790	1403	725
791	1404	723
792	1405	721
793	1406	719
794	1408	717
795	1409	715
796	1410	713
797	1411	711
798	1413	709
799	1414	707
800	1415	705
801	1416	703
802	1418	701
803	1443	711
804	1445	709
805	1446	706
806	1447	704
807	1448	702
808	1450	700
809	1451	698
810	1452	696
811	1453	694
812	1455	692
813	1456	690
814	1457	688
815	1458	686
816	1459	684
817	1461	682
818	1462	680
819	1463	678
820	1464	676
821	1465	674
822	1467	672
823	1468	669
824	1469	667
825	1470	665
826	1472	664
827	1473	662
828	1474	659
829	1476	657
830	1477	655
831	1478	653
832	1479	651
833	1480	649
834	1481	647
835	1482	645
836	1484	643
837	1485	641
838	1486	639
839	1487	637
840	1489	635
841	1490	633
842	1491	631
843	1492	629
844	1493	627
845	1494	625
846	1496	623
847	1497	621
848	1498	619
849	1499	617
850	1501	615
851	1502	613
852	1504	611
853	1505	610
854	1507	608
855	1508	606
856	1509	604
857	1510	602
858	1511	600
859	1513	598
860	1514	596
861	1515	594
862	1516	592
863	1518	590
864	1519	588
865	1520	586
866	1522	584
867	1523	582
868	1524	580
869	1525	578
870	1527	576
871	1528	574
872	1529	573
873	1530	571
874	1532	569
875	1533	567
876	1534	565
877	1535	563
878	1536	561
879	1538	559
880	1539	557
881	1540	555
882	1541	553
883	1542	551
884	1543	549
885	1544	547
886	1545	545
887	1547	543
888	1563	547
889	1564	545
890	1566	543
891	1567	541
892	1578	542
893	1580	540
894	1581	538
895	1582	536
896	1583	534
897	1584	532
898	1585	531
899	1587	529
900	1588	527
901	1589	525
902	1590	523
903	1592	521
904	1593	519
905	1594	517
906	1596	515
907	1597	513
908	1598	511
909	1599	509
910	1600	507
911	1602	505
912	1603	503
913	1604	502
914	1605	500
915	1607	498
916	1608	496
917	1609	494
918	1611	492
919	1613	490
920	1614	489
921	1615	487
922	1616	485
923	1618	483
924	1619	481
925	1620	479
926	1621	477
927	1623	475
928	1624	473
929	1625	472
930	1627	470
931	1628	468
932	1629	466
933	1630	464
934	1632	462
935	1633	460
936	1634	458
937	1635	456
938	1637	455
939	1638	453
940	1640	451
941	1641	449
942	1642	447
943	1644	445
944	1645	444
945	1646	442
946	1647	440
947	1649	438
948	1650	436
949	1651	434
950	1652	432
951	1654	430
952	1655	429
953	1656	427
954	1658	425
955	1659	423
956	1660	421
957	1662	419
958	1663	418
959	1664	416
960	1665	414
961	1667	412
962	1668	410
963	1669	408
964	1670	406
965	1672	405
966	1673	403
967	1674	401
968	1675	399
969	1677	397
970	1678	395
971	1679	393
972	1680	392
973	1681	390
974	1682	388
975	1684	386
976	1685	384
977	1686	382
978	1687	380
979	1688	379
980	1690	377
981	1691	375
982	1692	373
983	1693	371
984	1694	369
985	1696	368
986	1697	366
987	1698	364
988	1699	362
989	1701	360
990	1702	359
991	1703	357
992	1704	355
993	1706	353
994	1707	351
995	1708	349
996	1709	348
997	1710	346
998	1712	344
999	1713	342
1000	1715	340
1001	1716	339
1002	1717	337
1003	1718	335
1004	1720	333
1005	1721	331
1006	1722	330
1007	1723	328
1008	1725	326
1009	1726	324
1010	1727	323
1011	1729	321
1012	1730	319
1013	1731	317
1014	1732	315
1015	1733	314
1016	1735	312
1017	1736	310
1018	1737	308
1019	1738	306
1020	1739	305
1021	1741	303
1022	1742	301
1023	1743	299
1024	1744	297
1025	1746	296
1026	1747	294
1027	1748	292
1028	1749	290
1029	1750	288
1030	1752	287
1031	1753	285
1032	1754	283
1033	1755	281
1034	1757	280
1035	1758	278
1036	1759	276
1037	1760	274
1038	1762	273
1039	1763	271
1040	1764	269
1041	1765	267
1042	1766	265
1043	1768	264
1044	1769	262
1045	1770	260
1046	1772	258
1047	1773	257
1048	1775	255
1049	1776	253
1050	1777	252
1051	1778	250
1052	1780	248
1053	1781	246
1054	1782	244
1055	1783	243
1056	1784	241
1057	1786	239
1058	1787	237
1059	1788	236
1060	1789	234
1061	1790	232
1062	1792	230
1063	1793	229
1064	1794	227
1065	1796	225
1066	1797	224
1067	1798	222
1068	1799	220
1069	1801	218
1070	1802	217
1071	1803	215
1072	1805	213
1073	1806	211
1074	1807	210
1075	1808	208
1076	1810	206
1077	1811	204
1078	1812	203
1079	1813	201
1080	1815	199
1081	1816	198
1082	1817	196
1083	1818	194
1084	1820	192
1085	1821	191
1086	1822	189
1087	1824	187
1088	1825	186
1089	1826	184
1090	1827	182
1091	1828	180
1092	1830	179
1093	1831	177
1094	1832	175
1095	1833	173
1096	1834	172
1097	1836	170
1098	1837	168
1099	1838	167
1100	1839	165
1101	1840	163
1102	1842	161
1103	1843	160
1104	1844	158
1105	1846	156
1106	1847	155
1107	1848	153
1108	1849	151
1109	1850	150
1110	1852	148
1111	1853	146
1112	1854	144
1113	1855	143
1114	1856	141
1115	1858	139
1116	1859	138
1117	1860	136
1118	1861	134
1119	1863	133
1120	1864	131
1121	1865	129
1122	1867	128
1123	1868	126
1124	1869	124
1125	1870	122
1126	1872	121
1127	1873	119
1128	1874	117
1129	1875	116
1130	1877	114
1131	1878	112
1132	1879	111
1133	1880	109
1134	1882	107
1135	1883	106
1136	1884	104
1137	1885	102
1138	1887	101
1139	1888	99
1140	1889	97
1141	1890	96
1142	1891	94
1143	1892	92
1144	1894	90
1145	1895	89
1146	1896	87
1147	1897	85
1148	1898	84
1149	1899	82
1150	1901	80
1151	1902	79
1152	1903	77
1153	1904	75
1154	1905	74
1155	1907	72
1156	1908	70
1157	1910	69
1158	1911	67
1159	1912	65
1160	1913	64
1161	1914	62
1162	1916	60
1163	1917	59
1164	1918	57
1165	1919	55
1166	1920	54
1167	1922	52
1168	1923	50
1169	1924	49
1170	1925	47
1171	1926	46
1172	1927	44
1173	1929	42
1174	1930	41
1175	1931	39
1176	1932	37
1177	1933	36
1178	1934	34
1179	1936	32
1180	1937	31
1181	1938	29
1182	1939	27
1183	1940	26
1184	1942	24
1185	1943	22
1186	1944	21
1187	1945	19
1188	1946	18
1189	1948	16
1190	1949	14
1191	1950	13
1192	1951	11
1193	1952	9
1194	1954	8
1195	1955	6
1196	1956	4
1197	1957	3
1198	1958	1
1199	1960	0
